개방서비스명,상세영업상태명,도로명전체주소,도로명우편번호,사업장명,좌표정보x,좌표정보y
국제물류주선업,운행,부산광역시 강서구 신항로 96-82(성북동),46767,부산신항CFS(주),366505.2237,177690.5478
국제물류주선업,운행,"부산광역시 강서구 신항북로 68, (주)부산신항로지텍(성북동)",46767,(주)부산신항로지텍,366662.3022,178021.8032
국제물류주선업,운행,부산광역시 강서구 과학산단2로42번길 11 (지사동),46743,(주)짐모아인터내쇼날,366864.4173,185293.4459
국제물류주선업,운행,"경상남도 김해시 주촌면 서부로1701번안길 51, 201호",50887,주식회사 제이에스라인,366995.8134,195559.6424
국제물류주선업,운행,"경상남도 밀양시 삼랑진읍 만어로 8, 2층",50467,(주)신화해운항공,367279.9757,212747.8526
국제물류주선업,운행,"부산광역시 강서구 녹산산업북로 119, 부산물류터미널 232호 (송정동)",46751,(주)대원기업,367454.5642,179343.0148
국제물류주선업,운행,부산광역시 강서구 녹산산업북로 119(송정동),46751,(주)로이지엘에스,367454.5642,179343.0148
국제물류주선업,운행,부산광역시 강서구 녹산산단178로 37-14(송정동),46752,태남홀딩스(주),367611.6368,177768.6882
국제물류주선업,운행,"부산광역시 강서구 가락대로 230-8, 2동 2층(송정동)",46731,(주)디앤피연합,367691.6827,179853.9498
국제물류주선업,운행,부산광역시 강서구 녹산산단232로 12(송정동),46757,은산컨테이너터미널(주),367735.2422,178126.3702
국제물류주선업,운행,"부산광역시 강서구 녹산산단232로 38-26, 부산진해경제자유구역청 203호 (송정동)",46757,(주)제이엠티엘에스,367753.8385,177908.7053
국제물류주선업,운행,"부산광역시 강서구 녹산산단232로 38-9, TOOLMART 8동 208호(송정동)",46757,(주)라인로지스,367896.3676,177801.9197
국제물류주선업,운행,"부산광역시 강서구 녹산산단232로 38-9, TOOLMART 8동 203호 (송정동)",46757,(유)미래운송,367896.3676,177801.9197
국제물류주선업,운행,"부산광역시 강서구 녹산산단262로50번길 40, TOOLMART 5동 206호 (송정동)",46757,(주)대성티엘에스,367897.4808,177746.914
국제물류주선업,운행,부산광역시 강서구 녹산산단232로 16(송정동),46757,유니코리아로지스틱스(주),367929.6863,178040.7772
국제물류주선업,운행,경상남도 김해시 생림면 안양로 72-28,50800,엠제이물류,368248.9315,208000.6752
국제물류주선업,운행,"부산광역시 강서구 미음산단2로16번길 30, 2층 (구랑동)",46748,(주)센텀물류,368782.6703,182373.6064
국제물류주선업,운행,"부산광역시 강서구 미음산단로139번가길 35, 2층 (구랑동)",46744,(주)우리트랜스,368782.7935,183795.7904
국제물류주선업,운행,부산광역시 강서구 녹산산업북로 326 (송정동),46755,대한네트웍스(주),369561.6196,179188.6034
국제물류주선업,운행,"경상남도 김해시 김해대로 1902,(구산동, 구산아이파크)",50883,티엠로지스틱(주),369663.8756,196893.6425
국제물류주선업,운행,"부산광역시 강서구 마음길 34-24, 1층 (생곡동)",46729,유한회사 화원물류,370015.1451,183319.4865
국제물류주선업,운행,"부산광역시 강서구 마음길 34-24, 1층 (생곡동)",46729,유한회사 지성물류,370015.1451,183319.4865
국제물류주선업,운행,부산광역시 강서구 신호산단1로18번가길 20(신호동),46760,골드해상(주),370687.5085,177913.3248
국제물류주선업,운행,"부산광역시 강서구 신호산단1로 76, 경희빌딩 303호 (신호동)",46760,(주)제이디로지스,370724.7256,177503.4903
국제물류주선업,운행,"부산광역시 강서구 미음국제2로 28, 2층 204호 (미음동)",46747,(주)라미인터네셔널,370783.5536,184823.4799
국제물류주선업,운행,부산광역시 강서구 미음국제2로나길 13 (미음동),46746,세계해운항공(주),370818.0237,184914.7613
국제물류주선업,운행,"부산광역시 강서구 화전산단4로25번길 15, 807호 (화전동)",46735,에스유물류(주),371395.4866,180788.6868
국제물류주선업,운행,"부산광역시 강서구 신호산단1로 215, 새미래오피스텔빌딩 1동 707호 (신호동)",46759,(주)에스에스지와이,371525.4573,177979.6443
국제물류주선업,운행,부산광역시 강서구 화전산업대로 272-33 (녹산동),46736,(주)코렌,372075.8289,180834.8603
